Thermal Diffusivity (mm²/s),Galvanic Potential (V)
6,1.129560584446418,CCTO ceramics/P(VDF-CTFE)
11,1.0097222821224026,CCTO ceramics/P(VDF-CTFE)
14,0.9872854405151016,CCTO ceramics/P(VDF-CTFE)
0.9671902679615973,7.591777113429721,Ba0.7Sr0.3TiO3/P(VDF-CTFE)
8.841956599755353,7.115906161446111,Ba0.7Sr0.3TiO3/P(VDF-CTFE)
15.501612539348626,6.883703176151683,Ba0.7Sr0.3TiO3/P(VDF-CTFE)
0,6.572166655189843,Au/P(VDF-CTFE)
6,6.1292376642273,Au/P(VDF-CTFE)
14,5.826812605898965,Au/P(VDF-CTFE)
6.98042801966279,14.79048158439399,dodecylbenzene sulfonic acid/P(VDF-CTFE)
11.329921947101704,59.565538602925045,dodecylbenzene sulfonic acid/P(VDF-CTFE)
19.260515484938878,149.90028248839758,dodecylbenzene sulfonic acid/P(VDF-CTFE)
6,0.8834545104727272,FeO/P(VDF-CTFE)
10,3.2248745066962603,FeO/P(VDF-CTFE)
11,3.1029331259411155,FeO/P(VDF-CTFE)
