Shear Rate (1/s),Thermal Conductivity (W/(m·K))
1.824647842682805,1.3902629549693417,
13.003112421222664,0.7611746300258954,
16.614472288447562,0.7465505489688685,
18.897997965705056,0.7428802620252966,
1.824647842682805,-6.7807419349196305,
13.003112421222664,-7.492377458523569,
16.614472288447562,-7.586786335106758,
18.897997965705056,-7.629199207121827,
1.824647842682805,2.5721025867048084,
13.003112421222664,10.607833839805243,
16.614472288447562,12.849326117848284,
18.897997965705056,22.54476824324587,
1.824647842682805,3.911983211533385,
13.003112421222664,96.04915922410136,
16.614472288447562,66.8239516221205,
18.897997965705056,-36.981158590387125,
1.824647842682805,6.7702843446101815,
13.003112421222664,6.211504495375074,
16.614472288447562,6.132535094439567,
18.897997965705056,6.081669410736945,
