Electron Beam Dose (Gy),Oxidation Potential (V)
0.6163944143188771,1.3022549727528376,0.02% 9-Anthracenemethanol
3.008241265297018,0.9612403838802046,0.02% 9-Anthracenemethanol
15.633281528864856,0.5680230295935793,0.02% 9-Anthracenemethanol
18.49037666684903,0.5623174956433804,0.02% 9-Anthracenemethanol
0,-4.897823307026341,0.58% 9-Anthracenemethanol
1,-4.569493610567404,0.58% 9-Anthracenemethanol
2,-4.1112659613614815,0.58% 9-Anthracenemethanol
4,-3.195169697655917,0.58% 9-Anthracenemethanol
2.5337815317690104,-6.468945205126527,0.99% 9-Anthracenemethanol
3.256939772486065,-6.727861343136498,0.99% 9-Anthracenemethanol
3.475084186315036,-6.74617976102035,0.99% 9-Anthracenemethanol
14.536693600297161,-7.111212661664926,0.99% 9-Anthracenemethanol
0,4.571421356676937,0.51% 9-Anthracenemethanol
3,6.002729820155861,0.51% 9-Anthracenemethanol
7,6.272449689531114,0.51% 9-Anthracenemethanol
15,4.388162670943867,0.51% 9-Anthracenemethanol
1,-4.305250616922256,0.33% 9-Anthracenemethanol
6,-1.3077962488686534,0.33% 9-Anthracenemethanol
8,-7.132188625068322,0.33% 9-Anthracenemethanol
19,669.2206177701457,0.33% 9-Anthracenemethanol
