filler labels,Heat Of Crystallization (J/g)
1,2.8774164926453087,
3,5.201701402470498,
7,4.294482336279724,
9,17.873576500825934,
16,248.9156610838175,
0,8.108204043298537,
9,8.665217060797852,
12,14.19406197218371,
13,10.817397227816333,
15,12.882283314868937,
0,7.9442664089176525,
6,7.651161991777239,
8,7.383851994600769,
15,7.282959306216217,
19,7.211995957550973,
2,3.5474509872416347,
4,4.08539478492947,
5,2.8608194993643896,
17,2.980873466261392,
18,8.749926486023423,
7,-1.6236018752428083,
9,-1.6621590609907702,
10,-1.6745170494301023,
13,-1.7062664595352903,
15,-1.7166814174232943,
