Synthesis Time (min),Elongation At Break (%)
1,-2.056479936754668,
2,-2.5618147018602113,
9,-2.7208121464572237,
14,-2.8068288512931536,
1,-6.23265163899253,
2,-6.59397374960046,
9,-7.004857201248908,
14,-7.049218889559693,
1,3.6626857656677014,
2,3.650613885255878,
9,3.0900423082861193,
14,2.9048891424985426,
1,-0.9047522709130047,
2,-0.8212013797412725,
9,-0.6126209888781,
14,9.007214788793721,
1,-6.370473470152483,
2,-5.81115484546699,
9,-4.9604275178805075,
14,2.0784891131619183,
