Polymer Molecular Weight (g/mol),Coefficient Of Thermal Expansion (1/K)
5.335570418357509,5.015316495915487,SAN
11.308748816421213,4.811207384369628,SAN
12.78745692139794,4.721596344152322,SAN
15.011187792130844,4.695008143305257,SAN
5.335570418357509,-0.7428675956881305,Poly(butylene terephthalate)
11.308748816421213,3.040786714719303,Poly(butylene terephthalate)
12.78745692139794,7.598315838750571,Poly(butylene terephthalate)
15.011187792130844,-1.9841994502876212,Poly(butylene terephthalate)
5.335570418357509,0.6552843389546138,XNBR
11.308748816421213,0.498369770267703,XNBR
12.78745692139794,0.4861365716020983,XNBR
15.011187792130844,0.4749007771638585,XNBR
5.335570418357509,7.111581713762025,PBS
11.308748816421213,9.515229070295234,PBS
12.78745692139794,4.2462586151929695,PBS
15.011187792130844,13.35939171179776,PBS
