Synthesis Temperature (°C),Fatigue Strength (MPa)
0.2516447423828505,-4.30322584454197,MgO/Polyimide
9.34780310294503,-4.431329972237419,MgO/Polyimide
11.143464477308232,-4.524895265736611,MgO/Polyimide
14.303937973474017,-4.597038185574466,MgO/Polyimide
1,-3.3826269044235646,Paraffin oil/Polyimide
6,-2.5741969332380994,Paraffin oil/Polyimide
15,0.746436568650755,Paraffin oil/Polyimide
18,5.444907759659781,Paraffin oil/Polyimide
5.250065184338071,5.6054742060954466,exfoliated graphite/Polyimide
11.241496353509785,5.442510310564056,exfoliated graphite/Polyimide
14.212356525963747,5.422677087461051,exfoliated graphite/Polyimide
15.471357123548305,5.418090039158459,exfoliated graphite/Polyimide
1.3429866358015685,-0.48389119709556505,Copper(II) phenyl phosphate/Polyimide
4.328304982871485,-0.762736774297783,Copper(II) phenyl phosphate/Polyimide
11.836350534067353,-1.1279002297939384,Copper(II) phenyl phosphate/Polyimide
13.766277189083503,-1.2382520182321841,Copper(II) phenyl phosphate/Polyimide
7,6.693625454997521,MgO/Polyimide
8,3.7871037806061496,MgO/Polyimide
13,9.39311832913842,MgO/Polyimide
17,1.5198146099636674,MgO/Polyimide
