Volume Fraction,Modulus Of Elasticity (GPa)
7,8.619951647277727,calcium copper titanate/Poly(vinyl butyral)
8,6.171472522004809,calcium copper titanate/Poly(vinyl butyral)
10,24.78467538441282,calcium copper titanate/Poly(vinyl butyral)
13,44.01790055074364,calcium copper titanate/Poly(vinyl butyral)
7,10.805133919007197,Bentonite/Poly(vinyl butyral)
8,13.618119147332905,Bentonite/Poly(vinyl butyral)
10,15.507984525303621,Bentonite/Poly(vinyl butyral)
13,9.204118433140309,Bentonite/Poly(vinyl butyral)
7,-3.5032896998723873,Fe3O4/Poly(vinyl butyral)
8,11.229462149021202,Fe3O4/Poly(vinyl butyral)
10,28.767846726667706,Fe3O4/Poly(vinyl butyral)
13,146.3295700732326,Fe3O4/Poly(vinyl butyral)
7,-4.68269916542202,CaCO3/Poly(vinyl butyral)
8,-3.7461980163552626,CaCO3/Poly(vinyl butyral)
10,-4.714715834860141,CaCO3/Poly(vinyl butyral)
13,-2.4332326423773476,CaCO3/Poly(vinyl butyral)
7,7.931096667586795,graphene platelet/Poly(vinyl butyral)
8,12.889447228037534,graphene platelet/Poly(vinyl butyral)
10,46.98945493719411,graphene platelet/Poly(vinyl butyral)
13,81.06273077299325,graphene platelet/Poly(vinyl butyral)
