Solvent Concentration (M),Hardness (HV)
2,3.4845330054003782,0.5% Calcium carbonate
6,5.428376111101684,0.5% Calcium carbonate
7,5.048312925135332,0.5% Calcium carbonate
14,5.708862866994625,0.5% Calcium carbonate
16,14.19945826096528,0.5% Calcium carbonate
2,-6.586294410930675,0.01% Calcium carbonate
6,-5.2373773511371855,0.01% Calcium carbonate
7,-6.328704802093123,0.01% Calcium carbonate
14,-4.415989681955112,0.01% Calcium carbonate
16,-2.7097925592913494,0.01% Calcium carbonate
2,-6.280253011189679,0.16% Calcium carbonate
6,-6.559058467131695,0.16% Calcium carbonate
7,-6.543828528450228,0.16% Calcium carbonate
14,-6.847020889415067,0.16% Calcium carbonate
16,-6.867822691204093,0.16% Calcium carbonate
