Calcination Temperature (°C),Shear Viscosity (Pa·s)
4.075965589166191,0.17578241079097123,0.34% Graphite Nanoplatelets
5.640526398350911,-0.01900012034611162,0.34% Graphite Nanoplatelets
13.723366846896914,-0.1937731999775844,0.34% Graphite Nanoplatelets
15.106674336679722,-0.1985515066586753,0.34% Graphite Nanoplatelets
15.897876331964373,-0.19926669385984724,0.34% Graphite Nanoplatelets
4.502606391822821,4.605212081637281,0.89% Graphite Nanoplatelets
6.796972729226736,4.700016116493871,0.89% Graphite Nanoplatelets
11.465755971116366,5.535471864442931,0.89% Graphite Nanoplatelets
13.957047497636555,2.6272401794339078,0.89% Graphite Nanoplatelets
15.671242842416166,3.6394281629556846,0.89% Graphite Nanoplatelets
0.2670033464371824,-1.7155425798912076,0.32% Graphite Nanoplatelets
7.7840286754195205,0.3828907997967823,0.32% Graphite Nanoplatelets
10.895850524754014,-0.20763359258402492,0.32% Graphite Nanoplatelets
15.795136141370662,-0.41044895540635284,0.32% Graphite Nanoplatelets
16.818590902701914,12.7694589752633,0.32% Graphite Nanoplatelets
3.679549813283838,3.377129658548379,0.79% Graphite Nanoplatelets
5.6706227825655,3.2619683086379787,0.79% Graphite Nanoplatelets
6.211555439388876,3.217077932099921,0.79% Graphite Nanoplatelets
17.867839587861035,3.081649163251299,0.79% Graphite Nanoplatelets
19.950046019092838,3.079556000294469,0.79% Graphite Nanoplatelets
5,0.018024788950577353,0.52% Graphite Nanoplatelets
6,2.89723488894926,0.52% Graphite Nanoplatelets
10,29.238346931686998,0.52% Graphite Nanoplatelets
16,34.887879464263285,0.52% Graphite Nanoplatelets
17,56.18633162717976,0.52% Graphite Nanoplatelets
