Surfactant Concentration (M),Zeta Potential (mV)
2.1356605277935725,-0.3393939414714163,
8.728251291474107,-0.8288669016264583,
16.768369242030285,-1.1355081797913102,
19.13377611948495,-1.174535663474736,
2.1356605277935725,-1.1479197637024487,
8.728251291474107,-1.6349792069524283,
16.768369242030285,-1.8602483929418325,
19.13377611948495,-1.9169994062794538,
2.1356605277935725,6.179747073564851,
8.728251291474107,5.577293244216763,
16.768369242030285,5.4363007646747725,
19.13377611948495,5.38624839596242,
2.1356605277935725,2.3496449888058217,
8.728251291474107,15.553561626667138,
16.768369242030285,-23.682398914571795,
19.13377611948495,-37.31125180051242,
2.1356605277935725,-5.5388638901705445,
8.728251291474107,8.826806102394654,
16.768369242030285,134.01695161715065,
19.13377611948495,401.6818847587964,
