Reaction Time (h),Tan Delta
4.98554605649236,-3.2934336971703613,0.64% Silica/PMMA-PtBA
5.139063672679045,-3.307499384297862,0.64% Silica/PMMA-PtBA
12.09280851608042,-3.4679566398937247,0.64% Silica/PMMA-PtBA
12.669549616656022,-3.472240237879523,0.64% Silica/PMMA-PtBA
4.98554605649236,-2.2361007511125024,0.25% Silica/PMMA-PtBA
5.139063672679045,-2.089948123966229,0.25% Silica/PMMA-PtBA
12.09280851608042,-2.4694141136655845,0.25% Silica/PMMA-PtBA
12.669549616656022,-2.4772179296191013,0.25% Silica/PMMA-PtBA
4.98554605649236,-4.9884278673601585,0.39% Silica/PMMA-PtBA
5.139063672679045,-4.979477761045421,0.39% Silica/PMMA-PtBA
12.09280851608042,-5.206224194185932,0.39% Silica/PMMA-PtBA
12.669549616656022,-5.2121077740602555,0.39% Silica/PMMA-PtBA
4.98554605649236,8.12732314715473,0.39% Silica/PMMA-PtBA
5.139063672679045,8.12200939774534,0.39% Silica/PMMA-PtBA
12.09280851608042,7.938602804285059,0.39% Silica/PMMA-PtBA
12.669549616656022,7.931872677647944,0.39% Silica/PMMA-PtBA
