Coefficient Of Thermal Expansion (1/K),Shear Viscosity (Pa·s)
4,-0.48628422475258604,0.31% Calcium copper titanate/Poly(vinylidene fluoride)
14,-0.913246014484027,0.31% Calcium copper titanate/Poly(vinylidene fluoride)
17,-0.9719045250476384,0.31% Calcium copper titanate/Poly(vinylidene fluoride)
4,6.465175500641122,0.1% Calcium copper titanate/Poly(vinylidene fluoride)
14,13.5971099168424,0.1% Calcium copper titanate/Poly(vinylidene fluoride)
17,14.409214029824444,0.1% Calcium copper titanate/Poly(vinylidene fluoride)
4,5.262419035313747,0.84% Calcium copper titanate/Poly(vinylidene fluoride)
14,90.75974536537782,0.84% Calcium copper titanate/Poly(vinylidene fluoride)
17,365.87051789837733,0.84% Calcium copper titanate/Poly(vinylidene fluoride)
4,7.913722679481106,0.12% Calcium copper titanate/Poly(vinylidene fluoride)
14,2.658522670960048,0.12% Calcium copper titanate/Poly(vinylidene fluoride)
17,12.696888874309966,0.12% Calcium copper titanate/Poly(vinylidene fluoride)
