Gamma Radiation Dose (Gy),Shear Modulus (GPa)
1.0991187607717778,4.98402397927984,graphene platelet/DGEBD Epoxy Resin
7.079922778629177,7.008050878969213,graphene platelet/DGEBD Epoxy Resin
10.312851837471813,10.355102676226569,graphene platelet/DGEBD Epoxy Resin
10.510948624763545,5.648436340403022,graphene platelet/DGEBD Epoxy Resin
11.87503564404599,6.382325156724739,graphene platelet/DGEBD Epoxy Resin
18.44213227872743,13.204521493227405,graphene platelet/DGEBD Epoxy Resin
1,-5.180833450126783,Silica/DGEBD Epoxy Resin
3,-4.269895574079432,Silica/DGEBD Epoxy Resin
6,-4.061677493676698,Silica/DGEBD Epoxy Resin
10,-5.201374827652666,Silica/DGEBD Epoxy Resin
13,-6.452063299369307,Silica/DGEBD Epoxy Resin
18,1.3526841520123503,Silica/DGEBD Epoxy Resin
10.572203093014911,0.5811669816328563,PbS/DGEBD Epoxy Resin
13.210154080024203,0.5473298143085708,PbS/DGEBD Epoxy Resin
13.353248403469095,0.5470227466777225,PbS/DGEBD Epoxy Resin
13.482264602411135,0.5476158724810323,PbS/DGEBD Epoxy Resin
14.112727481256886,0.544654215939927,PbS/DGEBD Epoxy Resin
14.391784437287587,0.5435617347131143,PbS/DGEBD Epoxy Resin
