Incubation Temperature (°C),Porosity (%)
3.106840374740667,-3.187304013774467,Methoxy(dimethyl)octylsilane/PαMS
4.483255777950815,-3.4156503240699365,Methoxy(dimethyl)octylsilane/PαMS
6.7385880548840476,-3.5013636296330253,Methoxy(dimethyl)octylsilane/PαMS
13.059278837337889,-3.614129174552615,Methoxy(dimethyl)octylsilane/PαMS
17.633802437157808,-3.6288835614277315,Methoxy(dimethyl)octylsilane/PαMS
3.106840374740667,4.592206407370725,OMMT/PαMS
4.483255777950815,4.397594864154387,OMMT/PαMS
6.7385880548840476,4.33977007442761,OMMT/PαMS
13.059278837337889,4.065816368180247,OMMT/PαMS
17.633802437157808,3.960923033382841,OMMT/PαMS
3.106840374740667,-4.969130518903299,Titanium dioxide/PαMS
4.483255777950815,-3.787064100151014,Titanium dioxide/PαMS
6.7385880548840476,0.5603626227088352,Titanium dioxide/PαMS
13.059278837337889,65.68020771644531,Titanium dioxide/PαMS
17.633802437157808,499.71550291085975,Titanium dioxide/PαMS
3.106840374740667,-5.184832132309589,Fe2O3/PαMS
4.483255777950815,-5.816558516627866,Fe2O3/PαMS
6.7385880548840476,-3.9177786214943424,Fe2O3/PαMS
13.059278837337889,0.9954821024694258,Fe2O3/PαMS
17.633802437157808,-6.578866454584051,Fe2O3/PαMS
3.106840374740667,-5.594669093964764,"Iron(II,III) oxide/PαMS"
4.483255777950815,-5.804486064458963,"Iron(II,III) oxide/PαMS"
6.7385880548840476,-5.959800745436841,"Iron(II,III) oxide/PαMS"
13.059278837337889,-6.063465519043363,"Iron(II,III) oxide/PαMS"
17.633802437157808,-6.077698067086745,"Iron(II,III) oxide/PαMS"
