Solvent Concentration (M),Flexural Strength (MPa)
3.199867980346436,4.032667844132062,PAA
7.609583029071764,5.948623176607891,PAA
7.981223631878763,18.737619398585124,PAA
12.617661639775593,60.94029939471828,PAA
15.834392976109886,-89.45139027901877,PAA
3.199867980346436,-5.276551941234205,Poly(glycidyl methacrylate)
7.609583029071764,-2.321816999513338,Poly(glycidyl methacrylate)
7.981223631878763,9.126085214289553,Poly(glycidyl methacrylate)
12.617661639775593,-16.341153025048694,Poly(glycidyl methacrylate)
15.834392976109886,20.458290463198605,Poly(glycidyl methacrylate)
3.199867980346436,1.4201353905531977,PRX
7.609583029071764,3.4933244511170956,PRX
7.981223631878763,0.37030681639328566,PRX
12.617661639775593,-0.4620466179112568,PRX
15.834392976109886,3.211590029127873,PRX
3.199867980346436,6.7784368332475875,Poly(methyl methacrylate)
7.609583029071764,8.972235384644996,Poly(methyl methacrylate)
7.981223631878763,6.41409183769921,Poly(methyl methacrylate)
12.617661639775593,9.795249728328528,Poly(methyl methacrylate)
15.834392976109886,7.679990815063961,Poly(methyl methacrylate)
3.199867980346436,7.787647961106631,DGEBD Epoxy Resin
7.609583029071764,7.573374280238408,DGEBD Epoxy Resin
7.981223631878763,7.537939773419268,DGEBD Epoxy Resin
12.617661639775593,7.4690945934272746,DGEBD Epoxy Resin
15.834392976109886,7.4555845762501205,DGEBD Epoxy Resin
