Curing Temperature (°C),Polarization Resistance (Ω·m²)
4,4.208025863991556,Bentonite/PnBA
6,3.949819759813696,Bentonite/PnBA
12,3.6993918250019693,Bentonite/PnBA
17,3.5553793660844146,Bentonite/PnBA
4,2.392693051027321,Sodium titanate nanotubes/PnBA
6,2.354744947510052,Sodium titanate nanotubes/PnBA
12,2.084040115805528,Sodium titanate nanotubes/PnBA
17,1.9905483152354952,Sodium titanate nanotubes/PnBA
4,8.022737283482746,single-walled CNT/PnBA
6,8.026739421690996,single-walled CNT/PnBA
12,7.783057839837417,single-walled CNT/PnBA
17,7.637229153235303,single-walled CNT/PnBA
4,1.3596456409786812,Copper(II) phenyl phosphate/PnBA
6,2.771895606225294,Copper(II) phenyl phosphate/PnBA
12,2.143555433160819,Copper(II) phenyl phosphate/PnBA
17,-7.183613217531978,Copper(II) phenyl phosphate/PnBA
