Thermal Conductivity (W/(m·K)),Peel Strength (N/m)
0,0.805872311207877,Silver hexafluoroantimonate/Nylon 6
2,0.211758412257895,Silver hexafluoroantimonate/Nylon 6
5,-0.03328372587980047,Silver hexafluoroantimonate/Nylon 6
14,-0.2432025363943826,Silver hexafluoroantimonate/Nylon 6
18,-0.25328769082447933,Silver hexafluoroantimonate/Nylon 6
0,3.865375522439294,Barium strontium titanate/Nylon 6
2,4.35437584800159,Barium strontium titanate/Nylon 6
5,6.987443560929609,Barium strontium titanate/Nylon 6
14,62.97883092051162,Barium strontium titanate/Nylon 6
18,314.847270194182,Barium strontium titanate/Nylon 6
0,5.618209639227311,Graphite oxide/Nylon 6
2,5.760815856422564,Graphite oxide/Nylon 6
5,6.322978297085306,Graphite oxide/Nylon 6
14,6.576016539543327,Graphite oxide/Nylon 6
18,17.888685441813838,Graphite oxide/Nylon 6
0,3.507372369212489,Aluminium oxide/Nylon 6
2,3.1719522869854297,Aluminium oxide/Nylon 6
5,2.8101843105437485,Aluminium oxide/Nylon 6
14,2.6205240343377154,Aluminium oxide/Nylon 6
18,2.6089468401660727,Aluminium oxide/Nylon 6
0,-3.4487495445805387,nanosilica/Nylon 6
2,-2.9000016722654793,nanosilica/Nylon 6
5,-3.7146544168301046,nanosilica/Nylon 6
14,3.223184122736548,nanosilica/Nylon 6
18,5.962681274284138,nanosilica/Nylon 6
