Particle Size (nm),Electric Field Strength (V/m)
7.1176594851466195,-4.358523302246169,PBA
12.604223181722276,-4.613845140674794,PBA
13.525599590529612,-4.644358147011514,PBA
1,5.385812111639687,PEO
9,6.436170048320496,PEO
18,12.882962661880871,PEO
2.83967343584131,5.8152302204491075,DGEBF Epoxy Resin
6.940969656884226,5.591491251565584,DGEBF Epoxy Resin
7.346006962193701,5.5732461824200605,DGEBF Epoxy Resin
2,4.379958490851787,DGEBD Epoxy Resin
14,54.36726995255625,DGEBD Epoxy Resin
18,240.48513768949422,DGEBD Epoxy Resin
2.793371204409465,-2.0986207678567426,Poly(butylene)
4.371293853465927,-2.3490888891446264,Poly(butylene)
18.983444132587916,-2.6408099262844336,Poly(butylene)
