Specific Heat Capacity (J/(g·K)),Specific Heat (J/(g·K))
2,4.584226775363252,0.34% Methoxy(dimethyl)octylsilane
5,4.543384731256253,0.34% Methoxy(dimethyl)octylsilane
12,4.257814918398911,0.34% Methoxy(dimethyl)octylsilane
5.758592480874238,10.142861096631428,0.9% Methoxy(dimethyl)octylsilane
10.276654420355607,41.63271276935896,0.9% Methoxy(dimethyl)octylsilane
10.60619535084818,5.2736673703309815,0.9% Methoxy(dimethyl)octylsilane
4.694778248910714,0.47125378591079836,0.39% Methoxy(dimethyl)octylsilane
5.317775929404666,1.8420077512599766,0.39% Methoxy(dimethyl)octylsilane
9.026067210114721,2.7369588177458297,0.39% Methoxy(dimethyl)octylsilane
2,1.6205124266529594,0.91% Methoxy(dimethyl)octylsilane
3,1.4539733459546995,0.91% Methoxy(dimethyl)octylsilane
19,0.7688428230707275,0.91% Methoxy(dimethyl)octylsilane
5,-5.314067739211641,0.46% Methoxy(dimethyl)octylsilane
15,-5.628085226566942,0.46% Methoxy(dimethyl)octylsilane
16,-5.641835113711483,0.46% Methoxy(dimethyl)octylsilane
