Mixing Time (min),Fatigue Strength (MPa)
11,0.012411520291585418,Cyclic olefin copolymer
12,0.0025661868258935877,Cyclic olefin copolymer
13,-0.0045584519680746186,Cyclic olefin copolymer
14,-0.00856308316809578,Cyclic olefin copolymer
11,7.060502157968003,PC
12,5.740268458166716,PC
13,3.9424149858073876,PC
14,7.406558873322099,PC
11,3.072129530358872,PVP
12,2.780113667887689,PVP
13,7.794662292916641,PVP
14,0.8914770505896863,PVP
11,-3.1692224286900403,PA 66
12,2.770962235560358,PA 66
13,-2.277539325270552,PA 66
14,-3.1195983662399485,PA 66
