Thickness (µm),Shear Viscosity (Pa·s)
0,-0.3763131943611663,0.53% Multi-wall carbon nanotubes/Nylon 8
3,0.48883076030059525,0.53% Multi-wall carbon nanotubes/Nylon 8
11,0.8247941509714964,0.53% Multi-wall carbon nanotubes/Nylon 8
12,2.1883284424889236,0.53% Multi-wall carbon nanotubes/Nylon 8
13,3.6955597468741423,0.53% Multi-wall carbon nanotubes/Nylon 8
14,1.379511612327784,0.53% Multi-wall carbon nanotubes/Nylon 8
1.0207892348005254,-2.3949482585766795,0.72% Multi-wall carbon nanotubes/Nylon 8
5.531492171455712,-3.041622440507855,0.72% Multi-wall carbon nanotubes/Nylon 8
12.24165143597351,-3.2370499105035075,0.72% Multi-wall carbon nanotubes/Nylon 8
15.455863090758877,-3.251281623403021,0.72% Multi-wall carbon nanotubes/Nylon 8
15.806818470354697,-3.252244838650116,0.72% Multi-wall carbon nanotubes/Nylon 8
18.760313576221673,-3.2575413525780665,0.72% Multi-wall carbon nanotubes/Nylon 8
5,3.2092390343109636,0.18% Multi-wall carbon nanotubes/Nylon 8
9,3.0710913263488884,0.18% Multi-wall carbon nanotubes/Nylon 8
10,3.055584557560058,0.18% Multi-wall carbon nanotubes/Nylon 8
12,2.9618745605173724,0.18% Multi-wall carbon nanotubes/Nylon 8
14,2.905629551183605,0.18% Multi-wall carbon nanotubes/Nylon 8
15,2.89947852461999,0.18% Multi-wall carbon nanotubes/Nylon 8
1.7465416303898729,-3.8427958839512573,0.1% Multi-wall carbon nanotubes/Nylon 8
1.8775984394212775,-3.7784379352581405,0.1% Multi-wall carbon nanotubes/Nylon 8
4.086309139307113,-4.069939199337797,0.1% Multi-wall carbon nanotubes/Nylon 8
11.951771118239494,-4.401957074339606,0.1% Multi-wall carbon nanotubes/Nylon 8
13.504015749859118,-4.422058019731526,0.1% Multi-wall carbon nanotubes/Nylon 8
19.667231577643005,-4.5615536069603895,0.1% Multi-wall carbon nanotubes/Nylon 8
0,-5.9753008319006025,0.65% Multi-wall carbon nanotubes/Nylon 8
2,-6.321224377095653,0.65% Multi-wall carbon nanotubes/Nylon 8
5,-6.531812892061927,0.65% Multi-wall carbon nanotubes/Nylon 8
6,-6.52900174337665,0.65% Multi-wall carbon nanotubes/Nylon 8
7,-6.589001949368238,0.65% Multi-wall carbon nanotubes/Nylon 8
14,-6.84516069029333,0.65% Multi-wall carbon nanotubes/Nylon 8
