Melting Temperature (°C),Poisson’s Ratio
4.303492032422134,-3.3521768233303226,Graphene/PBS
14.144490583113745,-3.7278279277482262,Graphene/PBS
18.674820187271646,-3.826582139011027,Graphene/PBS
4.303492032422134,5.673633394074395,multi-walled carbon nanotube/PBS
14.144490583113745,5.437365733324768,multi-walled carbon nanotube/PBS
18.674820187271646,5.4267302985952,multi-walled carbon nanotube/PBS
4.303492032422134,3.7023678589206765,calcium carbonate/PBS
14.144490583113745,3.4454413279289526,calcium carbonate/PBS
18.674820187271646,3.4349121515191894,calcium carbonate/PBS
4.303492032422134,-1.8256195601508673,expanded graphite/PBS
14.144490583113745,-2.224937055129433,expanded graphite/PBS
18.674820187271646,-2.3286725583268075,expanded graphite/PBS
4.303492032422134,-4.9971330082762915,Zirconium dioxide/PBS
14.144490583113745,0.0908267682442343,Zirconium dioxide/PBS
18.674820187271646,2.1366336923445974,Zirconium dioxide/PBS
