Particle Density,Heat Of Crystallization (J/g)
3.8572039577869477,7.359029593252908,0.36% Calcium Carbonate
16.761446058462315,6.84812028695869,0.36% Calcium Carbonate
18.489697847057947,6.811763547731071,0.36% Calcium Carbonate
19.23939095260465,6.794978227957038,0.36% Calcium Carbonate
19.278423559233914,6.79507404914789,0.36% Calcium Carbonate
3.8572039577869477,7.5982514327746475,0.76% Calcium Carbonate
16.761446058462315,8.014708625088344,0.76% Calcium Carbonate
18.489697847057947,28.30925659798088,0.76% Calcium Carbonate
19.23939095260465,18.82056797098066,0.76% Calcium Carbonate
19.278423559233914,15.072511634525245,0.76% Calcium Carbonate
3.8572039577869477,5.455299504853562,0.95% Calcium Carbonate
16.761446058462315,174.99995365850558,0.95% Calcium Carbonate
18.489697847057947,-267.9347696317028,0.95% Calcium Carbonate
19.23939095260465,541.1535588729884,0.95% Calcium Carbonate
19.278423559233914,-282.39863542219325,0.95% Calcium Carbonate
3.8572039577869477,9.061270684754145,0.29% Calcium Carbonate
16.761446058462315,16.887887707594025,0.29% Calcium Carbonate
18.489697847057947,14.570040390410519,0.29% Calcium Carbonate
19.23939095260465,15.375781010727703,0.29% Calcium Carbonate
19.278423559233914,31.37864213160943,0.29% Calcium Carbonate
