EV (V),Specific Heat (J/(g·K))
1,-0.06465236596690249,PBA-a
4,1.2113388862518386,PBA-a
13,4.264097906846638,PBA-a
15,2.0572529350242146,PBA-a
19,19.11690197075489,PBA-a
1,0.11478845795285308,PANa
4,0.08716647174394754,PANa
13,2.9306063318308206,PANa
15,-0.8591776023320032,PANa
19,11.348741720798023,PANa
1,-5.523406883560995,PVAC
4,-5.792472753397726,PVAC
13,-6.223420631448259,PVAC
15,-6.279686761149305,PVAC
19,-6.366311684325724,PVAC
1,1.672691079791162,PA 11
4,1.1573129624449916,PA 11
13,0.885687776972234,PA 11
15,0.878208709797469,PA 11
19,0.870303741910431,PA 11
