Reaction Time (h),Thermal Diffusivity (mm²/s)
4.153953681887524,-6.399260735083962,0.82% Silicon carbide
14.150469367990524,-6.680575794980949,0.82% Silicon carbide
18.85498354114739,-6.7606843407529515,0.82% Silicon carbide
4.153953681887524,-7.132492996222801,0.11% Silicon carbide
14.150469367990524,-7.586879931915887,0.11% Silicon carbide
18.85498354114739,-7.666923783637808,0.11% Silicon carbide
4.153953681887524,0.7912742810228872,0.79% Silicon carbide
14.150469367990524,19.237697968619912,0.79% Silicon carbide
18.85498354114739,28.056849062007466,0.79% Silicon carbide
4.153953681887524,-0.58720332564942,0.36% Silicon carbide
14.150469367990524,-0.8939593904842739,0.36% Silicon carbide
18.85498354114739,-0.9045469691486134,0.36% Silicon carbide
4.153953681887524,0.5107661612897991,0.36% Silicon carbide
14.150469367990524,0.22864172554724002,0.36% Silicon carbide
18.85498354114739,0.21753216728691063,0.36% Silicon carbide
