Shear Rate (1/s),Thermal Conductivity (W/(m·K))
3,3.5913694342171825,single-walled CNTs/PBI
8,3.293036450048964,single-walled CNTs/PBI
12,3.2105316806901207,single-walled CNTs/PBI
1.0434991784218783,0.6179901582094098,Multi-wall carbon nanotubes/PBI
1.1019531579276332,0.8308181896677488,Multi-wall carbon nanotubes/PBI
17.988823541322986,0.057856986610786476,Multi-wall carbon nanotubes/PBI
2.5967711880459077,-0.06383193458670389,C60/PBI
6.45748505607229,-0.4291695288203604,C60/PBI
13.785323637313766,-0.5353786670246854,C60/PBI
0,-1.2207728276213645,Channel black/PBI
8,13.514001957546895,Channel black/PBI
19,206.04026317473006,Channel black/PBI
