Crystallization Temperature (°C),Adhesion Strength (MPa)
0.13104768507090414,-5.144468933056159,Polylactic acid
12.777495673970254,-5.626626755373683,Polylactic acid
12.904059949908568,-5.634236086055847,Polylactic acid
0.13104768507090414,3.6351746607694753,PMMA-PtBA
12.777495673970254,81.88056980199366,PMMA-PtBA
12.904059949908568,73.13850466994182,PMMA-PtBA
0.13104768507090414,-2.1013615864070943,Polybutadiene
12.777495673970254,23.22044435666652,Polybutadiene
12.904059949908568,61.591379909748845,Polybutadiene
0.13104768507090414,1.8787929184633791,PET
12.777495673970254,7.302899967740246,PET
12.904059949908568,0.20419741212049747,PET
0.13104768507090414,1.7706696568995113,PVAc
12.777495673970254,0.7889826626527474,PVAc
12.904059949908568,0.7860202800453703,PVAc
