Neutron Flux (n/cm²/s),Zeta Potential (mV)
0,-3.386089156294947,0.29% Colloidal silica
7,-4.100159252945466,0.29% Colloidal silica
8,-4.160837166117023,0.29% Colloidal silica
10,-4.187576640049272,0.29% Colloidal silica
15,-4.228243895787368,0.29% Colloidal silica
16,-4.230536598184026,0.29% Colloidal silica
0,2.7113421516111944,0.37% Colloidal silica
7,1.9792814692947829,0.37% Colloidal silica
8,1.9076283322904586,0.37% Colloidal silica
10,1.8784290122802316,0.37% Colloidal silica
15,1.716463724932296,0.37% Colloidal silica
16,1.6894347750379919,0.37% Colloidal silica
0,2.8265316896061665,0.72% Colloidal silica
7,2.565041467489756,0.72% Colloidal silica
8,2.5191648524359214,0.72% Colloidal silica
10,2.4049121573250414,0.72% Colloidal silica
15,2.2810622441844295,0.72% Colloidal silica
16,2.2554199718121297,0.72% Colloidal silica
0,-1.10585994193229,0.13% Colloidal silica
7,-0.09722132321388366,0.13% Colloidal silica
8,-0.09296299409591358,0.13% Colloidal silica
10,-0.2056066121558322,0.13% Colloidal silica
15,-3.648856382275113,0.13% Colloidal silica
16,-7.176489652118935,0.13% Colloidal silica
0,-4.563768449585949,0.9% Colloidal silica
7,-1.1823601972305129,0.9% Colloidal silica
8,5.596960528416963,0.9% Colloidal silica
10,17.32047116104438,0.9% Colloidal silica
15,132.4953341340894,0.9% Colloidal silica
16,161.65093927750917,0.9% Colloidal silica
