Mixing Time (min),Thermal Diffusivity (mm²/s)
1.7235242377943338,9.750510765842202,0.57% Dodecylbenzenesulfonic acid
1.7300142598183421,9.335373265534114,0.57% Dodecylbenzenesulfonic acid
7.535259004289565,10.883237528085212,0.57% Dodecylbenzenesulfonic acid
8.861830198549281,21.14860854402498,0.57% Dodecylbenzenesulfonic acid
13.462393391139887,-29.388437724564383,0.57% Dodecylbenzenesulfonic acid
14.276168180921786,12.744528514969652,0.57% Dodecylbenzenesulfonic acid
1.7235242377943338,-5.5018980014604235,0.68% Dodecylbenzenesulfonic acid
1.7300142598183421,-5.520913777700743,0.68% Dodecylbenzenesulfonic acid
7.535259004289565,-6.023963606831728,0.68% Dodecylbenzenesulfonic acid
8.861830198549281,-6.0534209512009225,0.68% Dodecylbenzenesulfonic acid
13.462393391139887,-6.112115338266002,0.68% Dodecylbenzenesulfonic acid
14.276168180921786,-6.115684088164356,0.68% Dodecylbenzenesulfonic acid
1.7235242377943338,0.5542879342278217,0.98% Dodecylbenzenesulfonic acid
1.7300142598183421,0.4948696508660618,0.98% Dodecylbenzenesulfonic acid
7.535259004289565,-0.024228823549505688,0.98% Dodecylbenzenesulfonic acid
8.861830198549281,-0.052284657483843366,0.98% Dodecylbenzenesulfonic acid
13.462393391139887,-0.11012402585033035,0.98% Dodecylbenzenesulfonic acid
14.276168180921786,-0.11237899462416812,0.98% Dodecylbenzenesulfonic acid
1.7235242377943338,-4.592051470144579,0.17% Dodecylbenzenesulfonic acid
1.7300142598183421,-3.998680207995469,0.17% Dodecylbenzenesulfonic acid
7.535259004289565,-4.704650267587932,0.17% Dodecylbenzenesulfonic acid
8.861830198549281,-1.9604369674641484,0.17% Dodecylbenzenesulfonic acid
13.462393391139887,-1.585055831619529,0.17% Dodecylbenzenesulfonic acid
14.276168180921786,-3.1754895881943446,0.17% Dodecylbenzenesulfonic acid
