Volume Fraction,Dynamic Viscosity (Pa·s)
4,2.338966452930501,
11,3.5740901857634255,
14,-0.9905626700081882,
17,0.48570677154597686,
4,8.020335193714251,
11,7.780754413558049,
14,7.760823510235088,
17,7.752658497428436,
4,4.168536691850992,
11,34.21161069139136,
14,161.09742823315088,
17,180.6785999590622,
4,2.805275361925345,
11,2.632795203460567,
14,2.61084076148078,
17,2.6014666186043964,
4,8.159801777770966,
11,7.832706955032332,
14,7.7597195190176,
17,7.714988373980254,
