Ion Beam Dose (Gy),Bond Strength (MPa)
0,3.1911529544998847,0.01% Morrocan montmorillonite/PVAc
1,3.5308248048415254,0.01% Morrocan montmorillonite/PVAc
11,5.976730420667119,0.01% Morrocan montmorillonite/PVAc
0,-4.744039818616307,0.97% Morrocan montmorillonite/PVAc
1,-4.766162317556184,0.97% Morrocan montmorillonite/PVAc
11,-5.7185709007799845,0.97% Morrocan montmorillonite/PVAc
0,4.065572709466717,0.2% Morrocan montmorillonite/PVAc
1,3.777273297605309,0.2% Morrocan montmorillonite/PVAc
11,6.427828480381655,0.2% Morrocan montmorillonite/PVAc
0,-7.013639801007074,0.01% Morrocan montmorillonite/PVAc
1,-6.854199104824966,0.01% Morrocan montmorillonite/PVAc
11,-3.425216702280636,0.01% Morrocan montmorillonite/PVAc
