filler labels,Dielectric Breakdown Strength (MV/m)
4,5.055588366666265,PMMA-PtBA
8,17.47154428532847,PMMA-PtBA
15,-32.70673260529772,PMMA-PtBA
19,951.9019301419295,PMMA-PtBA
4,5.098575771819001,PAN
8,5.08657449242798,PAN
15,4.810922508456319,PAN
19,4.732287411989887,PAN
4,1.8910840548098387,TGDDM
8,8.279662990512259,TGDDM
15,-27.654646522084704,TGDDM
19,846.3275217646642,TGDDM
4,4.323641851933946,PA 11
8,3.877892538916692,PA 11
15,12.35236740491656,PA 11
19,5.283354021780937,PA 11
4,7.478951040951971,Poly(ethylene-vinyl acetate)
8,7.303406553150754,Poly(ethylene-vinyl acetate)
15,7.061079244952114,Poly(ethylene-vinyl acetate)
19,7.000597873642774,Poly(ethylene-vinyl acetate)
