Ultrasound Time (min),Tg (°C)
6,-4.1190141155883095,0.09% Paraffinum liquidum/Poly(benzoxazine)
7,-4.0710215055376455,0.09% Paraffinum liquidum/Poly(benzoxazine)
12,-4.2986492739055295,0.09% Paraffinum liquidum/Poly(benzoxazine)
15,-4.394757111266573,0.09% Paraffinum liquidum/Poly(benzoxazine)
6,-3.5121409215717296,0.14% Paraffinum liquidum/Poly(benzoxazine)
7,-5.60367754552775,0.14% Paraffinum liquidum/Poly(benzoxazine)
12,-0.15334374080636515,0.14% Paraffinum liquidum/Poly(benzoxazine)
15,-1.3950332064803082,0.14% Paraffinum liquidum/Poly(benzoxazine)
6,1.8465304371369973,0.2% Paraffinum liquidum/Poly(benzoxazine)
7,7.848558480885261,0.2% Paraffinum liquidum/Poly(benzoxazine)
12,25.63827400251833,0.2% Paraffinum liquidum/Poly(benzoxazine)
15,3.757575166005852,0.2% Paraffinum liquidum/Poly(benzoxazine)
6,-1.5512665624764357,0.12% Paraffinum liquidum/Poly(benzoxazine)
7,-1.713659014371776,0.12% Paraffinum liquidum/Poly(benzoxazine)
12,-1.8427600135489115,0.12% Paraffinum liquidum/Poly(benzoxazine)
15,-1.918076110337795,0.12% Paraffinum liquidum/Poly(benzoxazine)
6,-4.788981460435879,0.16% Paraffinum liquidum/Poly(benzoxazine)
7,-4.587006817582935,0.16% Paraffinum liquidum/Poly(benzoxazine)
12,-6.218980459835192,0.16% Paraffinum liquidum/Poly(benzoxazine)
15,-3.5428151964960186,0.16% Paraffinum liquidum/Poly(benzoxazine)
