Exposure Time (h),Passivation Current Density (A/m²)
2.8933760232669337,2.5205079046253225,
10.364587089559436,3.874830682947245,
11.981291184807185,8.211074694229204,
13.240933367943743,5.991486925818139,
15.93165739649021,0.5119768064940668,
2.8933760232669337,4.94633825443761,
10.364587089559436,33.92596885504311,
11.981291184807185,35.533505368894396,
13.240933367943743,96.06062741166932,
15.93165739649021,104.9900206650398,
2.8933760232669337,-1.0190393583052917,
10.364587089559436,-1.4420071935665904,
11.981291184807185,-1.4583618275273809,
13.240933367943743,-1.4685470050083207,
15.93165739649021,-1.4803393083196212,
2.8933760232669337,9.171213104238248,
10.364587089559436,12.669975095298893,
11.981291184807185,10.442995211664307,
13.240933367943743,9.513698606507123,
15.93165739649021,10.415281655188448,
2.8933760232669337,10.20059802327841,
10.364587089559436,37.92781063653778,
11.981291184807185,16.94102996224393,
13.240933367943743,38.71888407833649,
15.93165739649021,170.05779269164938,
