Evaporation Temperature (°C),Tg (°C)
7,3.322501955073357,0.62% carbon nanofibers
11,28.385673787657126,0.62% carbon nanofibers
19,-201.77110912883916,0.62% carbon nanofibers
0,4.718543053738445,0.69% carbon nanofibers
1,4.362968005960047,0.69% carbon nanofibers
19,747.6002713836402,0.69% carbon nanofibers
1.3829930233879528,-4.199774469106021,0.88% carbon nanofibers
2.2140404778385725,-4.3592115406706595,0.88% carbon nanofibers
15.615734402579747,-4.932458427178625,0.88% carbon nanofibers
1,4.973683945247858,0.82% carbon nanofibers
11,4.126117494606512,0.82% carbon nanofibers
18,-3.4123087262111502,0.82% carbon nanofibers
3,0.41303307614012075,0.47% carbon nanofibers
5,0.16740856344629013,0.47% carbon nanofibers
19,-0.054610380876592236,0.47% carbon nanofibers
