Ultrasound Power (W),Flexural Strength (MPa)
5.527434530558944,5.2336214241898835,Carbon Black/Polychlorotrifluoroethylene
6.425470765568388,5.1694650944314855,Carbon Black/Polychlorotrifluoroethylene
6.598603357801482,5.184692128223904,Carbon Black/Polychlorotrifluoroethylene
11.055647662715216,5.078086389430341,Carbon Black/Polychlorotrifluoroethylene
5.527434530558944,3.71562027740255,Channel black/Polychlorotrifluoroethylene
6.425470765568388,3.462359238132543,Channel black/Polychlorotrifluoroethylene
6.598603357801482,4.634490872396945,Channel black/Polychlorotrifluoroethylene
11.055647662715216,4.609412569776923,Channel black/Polychlorotrifluoroethylene
5.527434530558944,4.9450557609521795,CaCO3/Polychlorotrifluoroethylene
6.425470765568388,4.896815461158565,CaCO3/Polychlorotrifluoroethylene
6.598603357801482,7.831058191188431,CaCO3/Polychlorotrifluoroethylene
11.055647662715216,21.4229901335606,CaCO3/Polychlorotrifluoroethylene
