Crosslinking Density (mol/m³),Fatigue Strength (MPa)
1.2904923745779184,-2.826853567867886,
9.69245377150244,18.09130567308592,
18.077629504131693,-362.8030280078925,
1.2904923745779184,-4.843377808347865,
9.69245377150244,-2.285623376764803,
18.077629504131693,-13.177171413707566,
1.2904923745779184,7.442680341406561,
9.69245377150244,9.529468876520411,
18.077629504131693,25.090580250878,
1.2904923745779184,-4.182258898482241,
9.69245377150244,-4.844062521336333,
18.077629504131693,-5.111216363859633,
