Polymer Molecular Weight (g/mol),Tensile Strength (MPa)
5.911049937933535,-3.5517498029984345,
13.452120388465536,0.5563747291688363,
16.41490132358235,-3.7109437901120854,
18.288730645387872,3.21157757673568,
5.911049937933535,3.477494607344824,
13.452120388465536,104.79595792546274,
16.41490132358235,149.75185120456757,
18.288730645387872,-72.41535609654076,
5.911049937933535,2.6279297916613586,
13.452120388465536,2.5238604102170634,
16.41490132358235,2.512923940062085,
18.288730645387872,2.5101347736321724,
5.911049937933535,5.227885551278366,
13.452120388465536,88.98261451485553,
16.41490132358235,41.66418419718633,
18.288730645387872,315.5506030024334,
5.911049937933535,6.931816488675355,
13.452120388465536,6.784198830089511,
16.41490132358235,6.772668100152914,
18.288730645387872,6.769233258317879,
