Crystallinity (%),Heat Of Crystallization (J/g)
8.429952915707412,-6.800966013407378,0.59% MWCNTs/Poly(vinyl chloride)
9.027388602283802,-6.855107606828518,0.59% MWCNTs/Poly(vinyl chloride)
11.066271361769186,-6.940704757366602,0.59% MWCNTs/Poly(vinyl chloride)
12.325768434042478,-6.964258996262608,0.59% MWCNTs/Poly(vinyl chloride)
16.816297359957236,-7.059963883248174,0.59% MWCNTs/Poly(vinyl chloride)
18.2727665427807,-7.080110368670647,0.59% MWCNTs/Poly(vinyl chloride)
19.26600132036278,-7.089145869596574,0.59% MWCNTs/Poly(vinyl chloride)
1.8914393050471134,4.902747017551105,0.98% MWCNTs/Poly(vinyl chloride)
1.9685967901731871,5.050528101209236,0.98% MWCNTs/Poly(vinyl chloride)
9.085129619881949,5.917573484187143,0.98% MWCNTs/Poly(vinyl chloride)
9.25072347976543,7.678359191524457,0.98% MWCNTs/Poly(vinyl chloride)
14.428135033763315,11.167903762051742,0.98% MWCNTs/Poly(vinyl chloride)
15.816649415378823,6.521204276299762,0.98% MWCNTs/Poly(vinyl chloride)
18.34320346762544,24.91115561526176,0.98% MWCNTs/Poly(vinyl chloride)
0,1.7417616431055978,0.23% MWCNTs/Poly(vinyl chloride)
1,1.846694032678291,0.23% MWCNTs/Poly(vinyl chloride)
4,1.9625654789866214,0.23% MWCNTs/Poly(vinyl chloride)
7,2.1248982774823864,0.23% MWCNTs/Poly(vinyl chloride)
9,1.1376117867022242,0.23% MWCNTs/Poly(vinyl chloride)
12,2.3482585222345387,0.23% MWCNTs/Poly(vinyl chloride)
18,13.259414105818198,0.23% MWCNTs/Poly(vinyl chloride)
3.140595180811645,-3.3259017180999653,0.41% MWCNTs/Poly(vinyl chloride)
8.853888662131395,8.035073443944961,0.41% MWCNTs/Poly(vinyl chloride)
10.540911088707663,28.683849207901496,0.41% MWCNTs/Poly(vinyl chloride)
11.026138888604919,29.92842738479004,0.41% MWCNTs/Poly(vinyl chloride)
11.387704918756933,20.027161011029413,0.41% MWCNTs/Poly(vinyl chloride)
11.674576027359212,-9.643991055489154,0.41% MWCNTs/Poly(vinyl chloride)
17.53210402357288,192.5644069704767,0.41% MWCNTs/Poly(vinyl chloride)
1,5.543759184150374,0.58% MWCNTs/Poly(vinyl chloride)
3,5.479444639102319,0.58% MWCNTs/Poly(vinyl chloride)
4,5.244343231660935,0.58% MWCNTs/Poly(vinyl chloride)
9,5.046084365586721,0.58% MWCNTs/Poly(vinyl chloride)
15,4.860935786006929,0.58% MWCNTs/Poly(vinyl chloride)
17,4.807485940457745,0.58% MWCNTs/Poly(vinyl chloride)
19,4.7843791950415255,0.58% MWCNTs/Poly(vinyl chloride)
