Crystallinity (%),Impact Strength (kJ/m²)
8.729302536310934,-0.36216629221992624,CaCu3Ti4O12/BPA-Ph
11.731812049897112,-0.40039460589561743,CaCu3Ti4O12/BPA-Ph
13.165939092463406,-0.4074459856238596,CaCu3Ti4O12/BPA-Ph
15.429345395495009,-0.41736863254054046,CaCu3Ti4O12/BPA-Ph
19.913285080470242,-0.42470272089421884,CaCu3Ti4O12/BPA-Ph
4.391551597877772,-2.5342841018851967,MWNT/BPA-Ph
13.035896250196615,13.142743513422825,MWNT/BPA-Ph
14.34800405874414,91.56039874619472,MWNT/BPA-Ph
17.423945945263338,-13.12866157450744,MWNT/BPA-Ph
19.19610826293331,86.93894167127081,MWNT/BPA-Ph
0.7600616512013825,5.247854263731303,Silica/BPA-Ph
8.656384756697424,4.483433415074542,Silica/BPA-Ph
10.921348118793766,4.433341691380409,Silica/BPA-Ph
14.062304487191195,4.352376567264132,Silica/BPA-Ph
15.032631760647789,4.337566240589223,Silica/BPA-Ph
2.5511071757212256,3.1631082435383058,Copper phenylphosphate/BPA-Ph
3.6229202422790108,3.291377018163931,Copper phenylphosphate/BPA-Ph
9.448534489481524,5.488822121093789,Copper phenylphosphate/BPA-Ph
10.11007627281857,4.173727036299981,Copper phenylphosphate/BPA-Ph
17.400957588119407,11.909600838768654,Copper phenylphosphate/BPA-Ph
