Exposure Time (h),Toughness (MJ/m³)
8,-0.25162276290502117,Nylon 6(3)T
12,0.3465991768957366,Nylon 6(3)T
15,1.8666419512624168,Nylon 6(3)T
19,-2.239693151972758,Nylon 6(3)T
8,8.007316278332038,SAN24
12,8.606345025720456,SAN24
15,11.461391040392465,SAN24
19,-3.482346110585441,SAN24
8,-6.091848441708687,Poly(butyl acrylate)
12,-6.255310852795309,Poly(butyl acrylate)
15,-6.323744198009419,Poly(butyl acrylate)
19,-6.389057691391175,Poly(butyl acrylate)
8,6.873845722723869,PC
12,4.733315756197656,PC
15,9.867711729949436,PC
19,45.50255641411725,PC
