Heat Treatment Time (h),Bet Surface Area
1,7.07254726924317,0.07% Lead(II) sulfide
7,6.658744194960777,0.07% Lead(II) sulfide
19,6.316329397869688,0.07% Lead(II) sulfide
1,1.7895933349819744,0.68% Lead(II) sulfide
7,1.3920957706966168,0.68% Lead(II) sulfide
19,1.2721100609629827,0.68% Lead(II) sulfide
1,3.1013996528379186,0.07% Lead(II) sulfide
7,2.450267546944784,0.07% Lead(II) sulfide
19,2.1434818867431438,0.07% Lead(II) sulfide
1,8.391981313304814,0.22% Lead(II) sulfide
7,7.8651086931158325,0.22% Lead(II) sulfide
19,7.732383676412655,0.22% Lead(II) sulfide
1,6.848387818031643,0.25% Lead(II) sulfide
7,6.399571052641605,0.25% Lead(II) sulfide
19,6.074949633908616,0.25% Lead(II) sulfide
