Heat Treatment Temperature (°C),Thermal Resistance (K/W)
0.14628433613508962,6.266054125437764,PAN
5.098387644212094,11.210456100520805,PAN
5.65022124856966,9.677262347524852,PAN
13.505469635624198,36.30581496831929,PAN
13.575336823557958,118.40780617095592,PAN
0.14628433613508962,-6.171675046649581,PBAT
5.098387644212094,-6.872465482916695,PBAT
5.65022124856966,-6.908267416107222,PBAT
13.505469635624198,-7.064124540328804,PBAT
13.575336823557958,-7.06507042918565,PBAT
0.14628433613508962,7.345404161386599,Polybenzimidazole
5.098387644212094,7.708646518011453,Polybenzimidazole
5.65022124856966,8.501984178697649,Polybenzimidazole
13.505469635624198,16.5519883553265,Polybenzimidazole
13.575336823557958,5.829933130875872,Polybenzimidazole
0.14628433613508962,-3.319756927208353,iPP
5.098387644212094,-3.8505814609184013,iPP
5.65022124856966,-3.8638514673784488,iPP
13.505469635624198,-4.037848419585207,iPP
13.575336823557958,-4.038520574875672,iPP
