X-ray Dose (Gy),Fatigue Strength (MPa)
0.7423891726069054,4.913395761955579,PBS
8.578449871100041,9.389835051398096,PBS
14.019392045822663,139.08818210290693,PBS
17.6860647456257,60.276547281363044,PBS
17.708576330916802,414.20007045157695,PBS
17.71992475422387,246.53354061881686,PBS
0.7423891726069054,-6.230853940600893,Poly(butyl acrylate)
8.578449871100041,-6.98063195070341,Poly(butyl acrylate)
14.019392045822663,-7.152269662667167,Poly(butyl acrylate)
17.6860647456257,-7.232693363757803,Poly(butyl acrylate)
17.708576330916802,-7.22669632956089,Poly(butyl acrylate)
17.71992475422387,-7.230418731765116,Poly(butyl acrylate)
0.7423891726069054,-5.101263062503341,DGEBD
8.578449871100041,-5.7724149734693855,DGEBD
14.019392045822663,-5.840896003719297,DGEBD
17.6860647456257,-5.851889771219718,DGEBD
17.708576330916802,-5.851762582401518,DGEBD
17.71992475422387,-5.851398392707151,DGEBD
