Particle Size (nm),Intrinsic Viscosity (dl/g)
1,-6.416423061580678,
4,-6.336454224378442,
10,-6.653453446539381,
12,-6.707371251838582,
13,-6.7883295553479535,
15,-6.816511327183229,
1,5.731730220434208,
4,5.427594909480742,
10,5.137150337478057,
12,5.03470446858291,
13,5.076982424452577,
15,4.98184755842912,
1,-0.6883518834668423,
4,-1.0263727749646563,
10,-1.3370649672189021,
12,-1.358402167935138,
13,-1.4208659240053612,
15,-1.46568584563048,
1,-7.010574850159757,
4,-7.25867241249535,
10,-7.441218636034823,
12,-7.4733657503514035,
13,-7.493995594242649,
15,-7.535231740586839,
1,3.95816742841932,
4,3.691331517791987,
10,3.4879418175846424,
12,3.437408561919128,
13,3.3927176530731216,
15,3.337409701234174,
