Thermal Conductivity (W/(m·K)),Flexural Strength (MPa)
8.17730049156072,2.3601052902128608,alumina/P2VP
15.220110748062499,-37.990751661690354,alumina/P2VP
15.403846984081085,-24.83153892856802,alumina/P2VP
8.17730049156072,28.558334127171406,PAN/P2VP
15.220110748062499,52.477093549651634,PAN/P2VP
15.403846984081085,127.46430751379388,PAN/P2VP
8.17730049156072,2.3385496426701846,OAP-POSS/P2VP
15.220110748062499,2.1353826883291243,OAP-POSS/P2VP
15.403846984081085,2.1386078350507485,OAP-POSS/P2VP
8.17730049156072,3.563094790492798,Na2TiO3/P2VP
15.220110748062499,3.3514249527450706,Na2TiO3/P2VP
15.403846984081085,3.354444017958173,Na2TiO3/P2VP
