Aspect Ratio,Dielectric Loss
1,5.1218732911988365,Poly(ethylene-vinyl acetate)
2,5.635011807039062,Poly(ethylene-vinyl acetate)
10,5.997890453027807,Poly(ethylene-vinyl acetate)
13,9.75958609846685,Poly(ethylene-vinyl acetate)
6.196275790314241,4.0396519338618635,Poly(vinylidene fluoride)
7.983123832362187,10.822059345475916,Poly(vinylidene fluoride)
10.976204342673853,8.249475753551172,Poly(vinylidene fluoride)
16.310857635259325,34.38284631995185,Poly(vinylidene fluoride)
2.7563780898059,6.285112699532368,PMMA-PtBA
9.305027475772869,4.714507291242299,PMMA-PtBA
18.101021741189378,5.009198294335415,PMMA-PtBA
18.153376008351543,19.46196555807998,PMMA-PtBA
1.1179174969403594,0.08616265612476759,sPP
2.1939788006659433,0.27353728770495045,sPP
13.654391132345047,-0.3078082178013701,sPP
15.526863876229747,-0.3155097645994816,sPP
