Shear Rate (1/s),Shear Viscosity (Pa·s)
2.1114681647787226,6.133657975097842,0.71% MWNT
5.390988972205328,5.840119908274282,0.71% MWNT
11.373141322683145,22.950038949224012,0.71% MWNT
13.530837528643673,30.868854707053643,0.71% MWNT
14.20370948936316,48.006058562967894,0.71% MWNT
18.650061669223057,-324.65502443246623,0.71% MWNT
7.708766181033724,3.1156077472476404,0.21% MWNT
9.903141627000561,5.710192988189151,0.21% MWNT
16.57075258821363,2.00119689065772,0.21% MWNT
17.19273835905986,11.216211105427107,0.21% MWNT
17.359022096477943,10.58931209938823,0.21% MWNT
18.957958251805543,2.1798568320923017,0.21% MWNT
1,8.220955496334856,0.1% MWNT
2,9.438957850444517,0.1% MWNT
5,13.458990233244586,0.1% MWNT
8,20.875636217252,0.1% MWNT
14,86.01767308755757,0.1% MWNT
15,116.18366912689706,0.1% MWNT
