Particle Size (nm),Magnetic Permeability (H/m)
1.6915720703812998,8.741720827704349,Fe2O3/PGMA
6.309232136229202,15.865134179798105,Fe2O3/PGMA
9.543205429315355,15.746968886867297,Fe2O3/PGMA
11.037345930258889,40.009781040403055,Fe2O3/PGMA
16.878195027624944,98.89820144797967,Fe2O3/PGMA
17.325733144315166,-80.4656345259569,Fe2O3/PGMA
1.6915720703812998,-5.875415185203595,multi-walled CNTs/PGMA
6.309232136229202,-6.27414207891741,multi-walled CNTs/PGMA
9.543205429315355,-6.3553564252431824,multi-walled CNTs/PGMA
11.037345930258889,-6.436123571640241,multi-walled CNTs/PGMA
16.878195027624944,-6.572317831073096,multi-walled CNTs/PGMA
17.325733144315166,-6.5955954264376,multi-walled CNTs/PGMA
1.6915720703812998,-0.6697125748827724,TiNT/PGMA
6.309232136229202,-0.9940930849660872,TiNT/PGMA
9.543205429315355,-1.0749367589353886,TiNT/PGMA
11.037345930258889,-1.096869027408925,TiNT/PGMA
16.878195027624944,-1.1246850473154568,TiNT/PGMA
17.325733144315166,-1.1250235004579832,TiNT/PGMA
