Heat Capacity (J/K),Reduction Potential (V)
0.5249503424263713,2.442994974808581,Polyaniline/DGEBD
3.638503843405374,1.9390187264437309,Polyaniline/DGEBD
7.901514836783141,1.659075543074003,Polyaniline/DGEBD
7.963334922982368,1.6647577425102198,Polyaniline/DGEBD
8.15913368439686,1.6689844209316735,Polyaniline/DGEBD
12.113958415228371,1.5922119823754401,Polyaniline/DGEBD
13.460408294062747,1.5855880597324852,Polyaniline/DGEBD
0.5249503424263713,-3.294460837973438,PbS/DGEBD
3.638503843405374,-1.5112683536320834,PbS/DGEBD
7.901514836783141,6.185764320620864,PbS/DGEBD
7.963334922982368,11.075181065108247,PbS/DGEBD
8.15913368439686,7.523755019486753,PbS/DGEBD
12.113958415228371,72.19252613069415,PbS/DGEBD
13.460408294062747,62.70871542133191,PbS/DGEBD
0.5249503424263713,-2.8186112252314848,Organophilic clay/DGEBD
3.638503843405374,-0.6886326305293076,Organophilic clay/DGEBD
7.901514836783141,0.5996899210632405,Organophilic clay/DGEBD
7.963334922982368,18.192089267392838,Organophilic clay/DGEBD
8.15913368439686,2.926927102162386,Organophilic clay/DGEBD
12.113958415228371,-7.885286798387268,Organophilic clay/DGEBD
13.460408294062747,44.495329856248034,Organophilic clay/DGEBD
