Thickness (µm),Flexural Strength (MPa)
1.0600034757740184,6.969234804531591,0.6% 9-Anthracenemethanol
3.9593850686442034,7.945667674287323,0.6% 9-Anthracenemethanol
10.70426602678438,7.256143367210958,0.6% 9-Anthracenemethanol
11.127730521262256,9.595545815590325,0.6% 9-Anthracenemethanol
12.30889574070169,10.856103471987353,0.6% 9-Anthracenemethanol
18.273931947002914,12.988032505064902,0.6% 9-Anthracenemethanol
1.0600034757740184,6.868581067503817,0.4% 9-Anthracenemethanol
3.9593850686442034,6.199870960324508,0.4% 9-Anthracenemethanol
10.70426602678438,5.967645864067315,0.4% 9-Anthracenemethanol
11.127730521262256,5.960569016837543,0.4% 9-Anthracenemethanol
12.30889574070169,5.94815196940446,0.4% 9-Anthracenemethanol
18.273931947002914,5.930400570099103,0.4% 9-Anthracenemethanol
1.0600034757740184,-6.148117740735695,0.44% 9-Anthracenemethanol
3.9593850686442034,-6.452013708232673,0.44% 9-Anthracenemethanol
10.70426602678438,-6.740348686380464,0.44% 9-Anthracenemethanol
11.127730521262256,-6.746140994386729,0.44% 9-Anthracenemethanol
12.30889574070169,-6.75621066465711,0.44% 9-Anthracenemethanol
18.273931947002914,-6.77598303550425,0.44% 9-Anthracenemethanol
