Crosslinking Density (mol/m³),Flexural Modulus (GPa)
1.7257433767796604,-0.9347358370511021,0.3% OFG/PET
3.666696976761119,-1.2607366875751285,0.3% OFG/PET
12.09526843876223,-1.4589435477699904,0.3% OFG/PET
14.64057326316765,-1.4704661096382299,0.3% OFG/PET
16.903376058432546,-1.4771548218513109,0.3% OFG/PET
1.7257433767796604,3.950567381558404,0.45% OFG/PET
3.666696976761119,5.662199929790692,0.45% OFG/PET
12.09526843876223,28.97971459269134,0.45% OFG/PET
14.64057326316765,165.6201122839779,0.45% OFG/PET
16.903376058432546,381.0483217088746,0.45% OFG/PET
1.7257433767796604,2.1954180311595346,0.47% OFG/PET
3.666696976761119,2.0134032665629,0.47% OFG/PET
12.09526843876223,72.04614422969512,0.47% OFG/PET
14.64057326316765,90.72043336619038,0.47% OFG/PET
16.903376058432546,-18.566292818024564,0.47% OFG/PET
1.7257433767796604,0.7791482072574184,0.05% OFG/PET
3.666696976761119,0.4814041608839235,0.05% OFG/PET
12.09526843876223,0.22382726385150253,0.05% OFG/PET
14.64057326316765,0.20703784903293382,0.05% OFG/PET
16.903376058432546,0.2010839386770591,0.05% OFG/PET
1.7257433767796604,-3.14432004890648,0.7% OFG/PET
3.666696976761119,-1.696480224818682,0.7% OFG/PET
12.09526843876223,22.933387538504963,0.7% OFG/PET
14.64057326316765,106.46182410398997,0.7% OFG/PET
16.903376058432546,28.453770188593534,0.7% OFG/PET
