pH,Intrinsic Viscosity (dl/g)
1,8.757997313607381,0.79% Silica/PCL
8,8.27037361245396,0.79% Silica/PCL
14,8.054082498171946,0.79% Silica/PCL
15,8.031943643628315,0.79% Silica/PCL
18,7.972418474321134,0.79% Silica/PCL
1,-4.936039286176166,0.97% Silica/PCL
8,-3.7991690511962535,0.97% Silica/PCL
14,1.7332820389064985,0.97% Silica/PCL
15,-3.0075180969261592,0.97% Silica/PCL
18,2.8003068372475166,0.97% Silica/PCL
1,-3.2675417934358104,0.18% Silica/PCL
8,-2.640689261414213,0.18% Silica/PCL
14,1.4934842159774995,0.18% Silica/PCL
15,5.655297532305688,0.18% Silica/PCL
18,2.504528547021117,0.18% Silica/PCL
