Light Intensity (W/m²),Porosity (%)
6,-1.8246050013313262,0.02% Carbon Black
8,-1.8602012548891147,0.02% Carbon Black
17,-2.1331952388165107,0.02% Carbon Black
18,-2.141499616246454,0.02% Carbon Black
6,-3.4097438171073384,0.6% Carbon Black
8,-2.626148076923057,0.6% Carbon Black
17,6.004380179111299,0.6% Carbon Black
18,4.668506766238904,0.6% Carbon Black
6,-0.3691754990745526,0.73% Carbon Black
8,2.475317286468586,0.73% Carbon Black
17,208.11921302239912,0.73% Carbon Black
18,538.2124982549279,0.73% Carbon Black
