Calcination Temperature (°C),Zero-shear Viscosity (Pa·s)
0,2.5929454337753928,
3,4.106745786494118,
8,10.288991342469174,
15,131.63814554427168,
16,127.66743841182051,
0,8.784573060112,
3,10.96034785876865,
8,23.052620727319983,
15,116.24211627325843,
16,284.7592520572838,
0,-0.7985529071436415,
3,0.7068691873084121,
8,14.86403608774665,
15,97.86105471725996,
16,239.83037344946558,
0,-0.8191822567892952,
3,0.6529968885838797,
8,6.5674388812183455,
15,111.04953871342141,
16,93.1932366680057,
