Magnetic Field Strength (T),Flexural Modulus (GPa)
2.3114167522500306,-5.44158531929761,PEO
9.365853593875357,-5.879345813397421,PEO
10.07893487987629,-5.879431714287762,PEO
10.973643575928218,-5.896118653958657,PEO
11.051421076618293,-5.892237858296356,PEO
15.413567750722772,-5.91869929234819,PEO
2.3114167522500306,0.14521697007989842,Polyimide
9.365853593875357,-0.21201198714238612,Polyimide
10.07893487987629,-0.17357569625790464,Polyimide
10.973643575928218,-0.18305366892123037,Polyimide
11.051421076618293,-0.26430939534495046,Polyimide
15.413567750722772,-0.3422017142110505,Polyimide
2.3114167522500306,-4.089524974071952,Nylon 12
9.365853593875357,-4.634192193826396,Nylon 12
10.07893487987629,-4.644301649910316,Nylon 12
10.973643575928218,-4.655814518812958,Nylon 12
11.051421076618293,-4.656342117596521,Nylon 12
15.413567750722772,-4.684292831743291,Nylon 12
2.3114167522500306,-6.2004881047392075,TGDDM
9.365853593875357,-5.961833449283445,TGDDM
10.07893487987629,-5.198622496546956,TGDDM
10.973643575928218,-2.2910777626054983,TGDDM
11.051421076618293,-4.352462776628396,TGDDM
15.413567750722772,-4.644149021985402,TGDDM
2.3114167522500306,-1.9243425596580739,P(BA-a)
9.365853593875357,-0.4461285012022931,P(BA-a)
10.07893487987629,0.27649443102717,P(BA-a)
10.973643575928218,0.9193535056927971,P(BA-a)
11.051421076618293,-1.3820295653925978,P(BA-a)
15.413567750722772,4.720394649250226,P(BA-a)
