Thickness (µm),Thermal Conductivity (W/(m·K))
1.2902151169333043,0.9318880756681995,
3.5169531584153546,1.5547096544993435,
5.165036687803914,3.94902883891391,
14.127492095548197,177.7224496195279,
15.28124067203398,194.67492244283525,
4,0.44380999717780756,
8,-0.2680236524687918,
9,0.4747151419509914,
11,3.008735515719236,
14,-3.214367724205127,
3.834401334256081,1.3924673887706183,
12.756287424483935,1.024462226890134,
13.448411164147876,1.0157448739380956,
16.930000434864354,0.9194443537819373,
19.3617724175274,0.8835280012521345,
0,-3.9154405884932197,
1,-3.9259537883383167,
2,-4.280465373866863,
3,-4.313605384105885,
16,-4.803136429971202,
2.50250774865191,5.751048206868329,
5.167610995560416,7.049794108259717,
8.657187055949434,10.407946819148544,
18.324649045042733,560.7915438939167,
18.666393989393953,-74.50228873038036,
