Reaction Time (h),Charge Transfer Resistance (Ω·m²)
2.8560954326419474,-2.7009341576686117,
2.9006793649312668,-2.673967182458524,
3.311435708697874,-2.8230193089247817,
2.8560954326419474,5.726875180571433,
2.9006793649312668,6.0362561846184235,
3.311435708697874,5.62247652247278,
2.8560954326419474,-4.1834445184133635,
2.9006793649312668,-4.180068766157952,
3.311435708697874,-4.49322162699754,
2.8560954326419474,-3.531291335534549,
2.9006793649312668,-3.076878574123726,
3.311435708697874,-2.6343751959067894,
