Synthesis Time (min),Surface Area (m²/g)
4,1.1662759765920356,Dodecylbenzenesulfonic acid/PBS
7,1.3518778379014147,Dodecylbenzenesulfonic acid/PBS
13,-0.31108819160380063,Dodecylbenzenesulfonic acid/PBS
4,3.0300594534423326,Dodecylbenzenesulfonic acid/PBS
10,2.781422889358118,Dodecylbenzenesulfonic acid/PBS
16,2.616850206046967,Dodecylbenzenesulfonic acid/PBS
5,10.082713668975329,silica/PBS
14,108.29969286660457,silica/PBS
18,782.9121085607916,silica/PBS
6,-0.04827033932365371,Multi-wall carbon nanotubes/PBS
7,-0.030575235780201826,Multi-wall carbon nanotubes/PBS
9,-0.12055681121481224,Multi-wall carbon nanotubes/PBS
5,6.195594003712956,Barium strontium titanate/PBS
12,5.936815996453481,Barium strontium titanate/PBS
15,5.892261067667574,Barium strontium titanate/PBS
