Decomposition Temperature (°C),Galvanic Potential (V)
1.0552947566052717,-5.2755774423890776,Poly(acrylonitrile)/Epoxy novolac viny ester resin
3.574832066719542,-3.672861447148121,Poly(acrylonitrile)/Epoxy novolac viny ester resin
3.5987484596986197,-3.4932493280721877,Poly(acrylonitrile)/Epoxy novolac viny ester resin
4.852566788589437,-3.467755775942791,Poly(acrylonitrile)/Epoxy novolac viny ester resin
1.0552947566052717,-3.4902443736044484,Silicon dioxide/Epoxy novolac viny ester resin
3.574832066719542,-2.693634235776292,Silicon dioxide/Epoxy novolac viny ester resin
3.5987484596986197,-3.0823935376507854,Silicon dioxide/Epoxy novolac viny ester resin
4.852566788589437,-2.565751179962054,Silicon dioxide/Epoxy novolac viny ester resin
1.0552947566052717,-3.4232445320081224,exfoliated graphene/Epoxy novolac viny ester resin
3.574832066719542,-1.5918798495667983,exfoliated graphene/Epoxy novolac viny ester resin
3.5987484596986197,-1.6121339073257537,exfoliated graphene/Epoxy novolac viny ester resin
4.852566788589437,-1.233124578422656,exfoliated graphene/Epoxy novolac viny ester resin
1.0552947566052717,-5.640676681999712,Aluminium oxide/Epoxy novolac viny ester resin
3.574832066719542,-6.094361613035721,Aluminium oxide/Epoxy novolac viny ester resin
3.5987484596986197,-6.029665024628836,Aluminium oxide/Epoxy novolac viny ester resin
4.852566788589437,-6.206319438741773,Aluminium oxide/Epoxy novolac viny ester resin
