EV (V),Compression Strength (MPa)
2,4.4322315889064265,
4,4.547079290559407,
5,5.613235587288544,
6,4.3073730463686655,
12,8.69608219216989,
13,5.187147644850256,
2,0.7163524871515359,
4,3.8811673922537784,
5,0.5859682635098702,
6,3.4664800107183558,
12,47.201767400171256,
13,44.97778066890459,
2,-0.24078591791393933,
4,-0.44248473697560076,
5,-0.5574854461916017,
6,-0.6588997532687191,
12,-0.768627129406312,
13,-0.7753773738992629,
2,1.231745640236164,
4,1.028068303277996,
5,0.9842556328104293,
6,0.960964523562168,
12,0.8060119107850949,
13,0.7971565341974315,
2,3.9263015670055523,
4,5.005648588748264,
5,7.220158241362559,
6,8.05778985173281,
12,73.60540536575242,
13,60.744681569625044,
