Aging Time (h),Bet Surface Area
15,0.9395987623467468,0.45% silica nanoparticles
16,0.9269549086605774,0.45% silica nanoparticles
18,0.8781800801966944,0.45% silica nanoparticles
15,11.620156177826395,0.64% silica nanoparticles
16,6.486457130407484,0.64% silica nanoparticles
18,15.970144543423439,0.64% silica nanoparticles
15,4.272082820140222,0.68% silica nanoparticles
16,4.269343629943652,0.68% silica nanoparticles
18,4.265200825705996,0.68% silica nanoparticles
15,4.98530986017443,0.89% silica nanoparticles
16,5.464754016944741,0.89% silica nanoparticles
18,4.743739016080171,0.89% silica nanoparticles
