Annealing Temperature (°C),Polarization Resistance (Ω·m²)
5.492405405205563,-5.230081477508308,0.47% Titanate nanotubes
6.1726055815385035,-6.213569006217853,0.47% Titanate nanotubes
7.783321360327228,-5.471269344054986,0.47% Titanate nanotubes
15.614870354457263,-3.8600395936774126,0.47% Titanate nanotubes
5.492405405205563,7.097030849392857,0.75% Titanate nanotubes
6.1726055815385035,7.744695246641042,0.75% Titanate nanotubes
7.783321360327228,21.587580420691474,0.75% Titanate nanotubes
15.614870354457263,21.452578676237188,0.75% Titanate nanotubes
5.492405405205563,6.778669913050161,0.32% Titanate nanotubes
6.1726055815385035,8.411637746110747,0.32% Titanate nanotubes
7.783321360327228,5.995428885324405,0.32% Titanate nanotubes
15.614870354457263,15.766561966532715,0.32% Titanate nanotubes
5.492405405205563,4.4089479652221994,0.59% Titanate nanotubes
6.1726055815385035,5.723856592361812,0.59% Titanate nanotubes
7.783321360327228,4.5371810075410455,0.59% Titanate nanotubes
15.614870354457263,19.174901006036944,0.59% Titanate nanotubes
5.492405405205563,0.7082023562292742,0.85% Titanate nanotubes
6.1726055815385035,0.5998836515665329,0.85% Titanate nanotubes
7.783321360327228,0.5918195334809875,0.85% Titanate nanotubes
15.614870354457263,0.3414816298380827,0.85% Titanate nanotubes
